,Set,Price_Euro,Pieces,Minifigs
0,Corner Garage,,2569,6
1,Ford Mustang,,1471,
2,NASA Apollo 11 Lunar Lander,,1087,2
3,Gingerbread House,,1477,2
4,Harley-Davidson Fat Boy,,1023,
5,Woody & RC,,69,1
6,Duke Caboom's Stunt Show,,120,2
7,Buzz and Bo Peep's Playground Adventure,,139,3
8,RV Vacation,,178,3
9,Buzz & Woody's Carnival Mania!,,230,5
10,Carnival Thrill Coaster,,98,2
11,My First Tow Truck,,11,
12,My First Balancing Animals,,15,
13,My First Fun Puzzle,,15,
14,My First Car Creations,,34,
15,Creative Fun,,120,1
16,Mickey's Vacation House,,57,3
17,Spider-Man vs. Electro,,29,2
18,Toy Story Train,,21,2
19,Emmet and Lucy's Visitors from the DUPLO Planet,,53,2
20,My First Minnie Build,,10,
21,My First Mickey Build,,9,
22,Frozen Ice Castle,,59,3
23,Police Bike,,8,1
24,Fire Truck,,21,2
